[2024-05-19 14:08:46,747::train::INFO] [Validation] Iter 14200 | reward 0.618440
[2024-05-19 14:31:21,805::train::INFO] [Validation] Iter 14400 | reward 0.672030
[2024-05-19 14:54:21,848::train::INFO] [Validation] Iter 14600 | reward 0.660677
[2024-05-19 15:17:57,251::train::INFO] [Validation] Iter 14800 | reward 0.596924
[2024-05-19 15:41:10,493::train::INFO] [Validation] Iter 15000 | reward 0.663722
[2024-05-19 16:04:07,453::train::INFO] [Validation] Iter 15200 | reward 0.614487
[2024-05-19 16:24:36,376::train::INFO] [Validation] Iter 15400 | reward 0.696991
[2024-05-19 16:54:28,530::train::INFO] [Validation] Iter 15600 | reward 0.689558
[2024-05-19 17:24:38,630::train::INFO] [Validation] Iter 15800 | reward 0.699086
[2024-05-19 17:54:56,119::train::INFO] [Validation] Iter 16000 | reward 0.590847
[2024-05-19 18:24:33,589::train::INFO] [Validation] Iter 16200 | reward 0.692103
[2024-05-19 18:54:26,240::train::INFO] [Validation] Iter 16400 | reward 0.723210
[2024-05-19 18:54:26,249::train::INFO] [Validation] New Best model!
[2024-05-19 19:16:42,519::train::INFO] [Validation] Iter 16600 | reward 0.688173
[2024-05-19 19:36:46,069::train::INFO] [Validation] Iter 16800 | reward 0.681593
[2024-05-19 19:56:50,065::train::INFO] [Validation] Iter 17000 | reward 0.655447
[2024-05-19 20:16:58,880::train::INFO] [Validation] Iter 17200 | reward 0.558937
[2024-05-19 20:39:56,684::train::INFO] [Validation] Iter 17400 | reward 0.687623
[2024-05-19 21:02:56,599::train::INFO] [Validation] Iter 17600 | reward 0.639791
[2024-05-19 21:26:02,163::train::INFO] [Validation] Iter 17800 | reward 0.667103
[2024-05-19 21:48:52,709::train::INFO] [Validation] Iter 18000 | reward 0.630980
[2024-05-19 22:11:37,027::train::INFO] [Validation] Iter 18200 | reward 0.667704
[2024-05-19 22:31:56,705::train::INFO] [Validation] Iter 18400 | reward 0.705961
[2024-05-19 22:52:01,653::train::INFO] [Validation] Iter 18600 | reward 0.673699
[2024-05-19 23:12:06,048::train::INFO] [Validation] Iter 18800 | reward 0.665510
[2024-05-19 23:32:09,802::train::INFO] [Validation] Iter 19000 | reward 0.654108
[2024-05-19 23:52:12,133::train::INFO] [Validation] Iter 19200 | reward 0.643521
[2024-05-20 00:12:11,853::train::INFO] [Validation] Iter 19400 | reward 0.611339
[2024-05-20 00:32:19,017::train::INFO] [Validation] Iter 19600 | reward 0.685979
[2024-05-20 00:52:20,433::train::INFO] [Validation] Iter 19800 | reward 0.683151
[2024-05-20 01:12:30,781::train::INFO] [Validation] Iter 20000 | reward 0.702165
[2024-05-20 01:32:34,536::train::INFO] [Validation] Iter 20200 | reward 0.658424
[2024-05-20 01:52:38,730::train::INFO] [Validation] Iter 20400 | reward 0.657186
[2024-05-20 02:12:39,127::train::INFO] [Validation] Iter 20600 | reward 0.731168
[2024-05-20 02:12:39,135::train::INFO] [Validation] New Best model!
[2024-05-20 02:32:40,955::train::INFO] [Validation] Iter 20800 | reward 0.621110
[2024-05-20 02:52:48,870::train::INFO] [Validation] Iter 21000 | reward 0.667769
[2024-05-20 03:12:51,973::train::INFO] [Validation] Iter 21200 | reward 0.652172
[2024-05-20 03:32:55,561::train::INFO] [Validation] Iter 21400 | reward 0.648413
[2024-05-20 03:53:02,881::train::INFO] [Validation] Iter 21600 | reward 0.608738
[2024-05-20 04:13:11,223::train::INFO] [Validation] Iter 21800 | reward 0.573076
[2024-05-20 04:33:15,535::train::INFO] [Validation] Iter 22000 | reward 0.644850
[2024-05-20 04:53:27,914::train::INFO] [Validation] Iter 22200 | reward 0.680800
[2024-05-20 05:13:35,315::train::INFO] [Validation] Iter 22400 | reward 0.647272
[2024-05-20 05:33:43,319::train::INFO] [Validation] Iter 22600 | reward 0.675157
[2024-05-20 05:53:51,727::train::INFO] [Validation] Iter 22800 | reward 0.630484
[2024-05-20 06:13:59,666::train::INFO] [Validation] Iter 23000 | reward 0.689465
[2024-05-20 06:34:09,049::train::INFO] [Validation] Iter 23200 | reward 0.637773
[2024-05-20 06:54:16,822::train::INFO] [Validation] Iter 23400 | reward 0.641361
[2024-05-20 07:14:26,829::train::INFO] [Validation] Iter 23600 | reward 0.729403
[2024-05-20 07:34:30,889::train::INFO] [Validation] Iter 23800 | reward 0.707120
[2024-05-20 07:54:57,161::train::INFO] [Validation] Iter 24000 | reward 0.625070
[2024-05-20 08:15:22,224::train::INFO] [Validation] Iter 24200 | reward 0.762133
[2024-05-20 08:15:22,232::train::INFO] [Validation] New Best model!
[2024-05-20 08:35:46,996::train::INFO] [Validation] Iter 24400 | reward 0.670290
[2024-05-20 08:57:23,444::train::INFO] [Validation] Iter 24600 | reward 0.665128
[2024-05-20 09:24:55,902::train::INFO] [Validation] Iter 24800 | reward 0.658343
[2024-05-20 09:54:17,376::train::INFO] [Validation] Iter 25000 | reward 0.698269
[2024-05-20 10:23:19,526::train::INFO] [Validation] Iter 25200 | reward 0.636189
[2024-05-20 10:52:08,295::train::INFO] [Validation] Iter 25400 | reward 0.697738
[2024-05-20 11:17:11,761::train::INFO] [Validation] Iter 25600 | reward 0.621087
[2024-05-20 11:38:40,098::train::INFO] [Validation] Iter 25800 | reward 0.655141
[2024-05-20 12:01:26,438::train::INFO] [Validation] Iter 26000 | reward 0.673484
[2024-05-20 12:24:38,634::train::INFO] [Validation] Iter 26200 | reward 0.657579
[2024-05-20 12:47:58,708::train::INFO] [Validation] Iter 26400 | reward 0.708051
[2024-05-20 13:10:54,841::train::INFO] [Validation] Iter 26600 | reward 0.653425
[2024-05-20 13:33:22,906::train::INFO] [Validation] Iter 26800 | reward 0.665041
[2024-05-20 13:53:44,452::train::INFO] [Validation] Iter 27000 | reward 0.621693
[2024-05-20 14:15:50,154::train::INFO] [Validation] Iter 27200 | reward 0.617183
[2024-05-20 14:39:22,662::train::INFO] [Validation] Iter 27400 | reward 0.660082
[2024-05-20 15:02:16,519::train::INFO] [Validation] Iter 27600 | reward 0.653133
[2024-05-20 15:25:26,025::train::INFO] [Validation] Iter 27800 | reward 0.688992
[2024-05-20 15:48:06,507::train::INFO] [Validation] Iter 28000 | reward 0.654447
[2024-05-20 16:09:39,181::train::INFO] [Validation] Iter 28200 | reward 0.672247
[2024-05-20 16:29:49,967::train::INFO] [Validation] Iter 28400 | reward 0.623548
[2024-05-20 16:50:01,532::train::INFO] [Validation] Iter 28600 | reward 0.679214
[2024-05-20 17:10:06,776::train::INFO] [Validation] Iter 28800 | reward 0.659649
[2024-05-20 17:30:00,319::train::INFO] [Validation] Iter 29000 | reward 0.678711
[2024-05-20 17:49:48,417::train::INFO] [Validation] Iter 29200 | reward 0.678109
[2024-05-20 18:09:43,621::train::INFO] [Validation] Iter 29400 | reward 0.620163
[2024-05-20 18:29:40,625::train::INFO] [Validation] Iter 29600 | reward 0.641360
[2024-05-20 18:49:45,739::train::INFO] [Validation] Iter 29800 | reward 0.606006
[2024-05-20 19:12:11,572::train::INFO] [Validation] Iter 30000 | reward 0.691836
[2024-05-20 19:35:12,569::train::INFO] [Validation] Iter 30200 | reward 0.607817
[2024-05-20 19:58:09,017::train::INFO] [Validation] Iter 30400 | reward 0.637765
[2024-05-20 20:21:24,874::train::INFO] [Validation] Iter 30600 | reward 0.638369
[2024-05-20 20:44:23,015::train::INFO] [Validation] Iter 30800 | reward 0.629019
[2024-05-20 21:04:49,475::train::INFO] [Validation] Iter 31000 | reward 0.654214
